"Molecule","Potency","pIC50","Outcome","is_active"
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]",82.5461556128514,4.083303148143199,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.383488223709,4.9437246373980575,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])n1c([H])c([H])c(=O)n(c1=O)C([H])([H])[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.3094104721024,4.946560033039687,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C1=C([H])C([H])=C(C#N)C([H])=C1[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",18.7281197092005,4.727505823314045,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])n1c([H])c(C#N)c(=O)n([H])c1=O)C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",21.239836906775,4.672848822372093,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])N1N=NC(=N1)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",18.2857156246282,4.737888038566542,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])N1N=C(N=C1[H])C(F)(F)F)C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",13.6449983563873,4.865026512307163,"Inactive",0
"[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])N1N=NN=C1[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",10.2511787022772,4.989226195636151,"Inactive",0
"[H]OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C2(C(=O)N([H])C3=C([H])N=C([H])C4=C([H])C([H])=C([H])C([H])=C34)C3=C([H])C(Cl)=C([H])C([H])=C3OC([H])([H])C2([H])[H])C([H])(C([H])([H])[H])C1([H])[H]",14.5316267968552,4.837685764273931,"Inactive",0
"[H]OC([H])([H])C([H])([H])N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C2(C(=O)N([H])C3=C([H])N=C([H])C4=C([H])C([H])=C([H])C([H])=C34)C3=C([H])C(Cl)=C([H])C([H])=C3OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H]",37.6021301491232,4.424787551726443,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C2N(C(=O)C([H])([H])C([H])([H])C2=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",63.5332089850502,4.196999208425109,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",66.1095484714624,4.179735809062329,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C2N(N=C([H])C2=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",48.0239731921095,4.318541912083512,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",75.9031200777507,4.119740371605181,"Inactive",0
